id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,-0.66,-0.99,-0.20,20,19,19,3,4,-3
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,0.99,1.37,0.45,4,5,5,-1,-2,1
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,-0.98,-1.56,-0.18,24,24,17,0,0,4
12,Croatia,-0.73,-1.02,-0.33,22,20,22,-2,-1,-1
13,Cyprus,-0.34,-0.38,-0.28,17,16,21,0,-4,1
14,Czech Republic,-0.11,-0.09,-0.13,13,11,14,5,8,0
15,Denmark,0.40,0.69,-0.01,8,8,13,1,-2,0
16,Egypt,,,,,,,,,
17,Estonia,-0.06,-0.19,0.12,11,14,9,1,0,3
18,Faroe Islands,,,,,,,,,
19,Finland,0.57,0.70,0.37,6,7,6,-2,-2,-1
20,France,3.22,6.72,-1.67,1,1,27,1,0,-1
21,Georgia,,,,,,,,,
22,Germany,1.65,1.54,1.81,3,3,1,3,9,0
23,Greece,-0.25,-0.12,-0.44,16,12,23,-2,-3,1
24,Guernsey,,,,,,,,,
25,Hungary,-1.55,-1.94,-1.02,26,25,26,-1,0,-3
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,0.82,1.52,-0.15,5,4,15,0,0,1
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,-1.76,-2.35,-0.95,27,26,25,0,0,2
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,-0.36,-0.70,0.11,18,18,10,-2,-1,0
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,-0.72,-1.04,-0.27,21,22,20,0,0,-4
41,Luxembourg,0.00,-0.18,0.25,10,13,7,1,1,0
42,Macedonia,,,,,,,,,
43,Malta,-0.20,-0.41,0.10,14,17,11,-4,-10,0
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,0.45,0.73,0.07,7,6,12,1,2,-5
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,-0.51,-1.03,0.20,19,21,8,-5,-5,1
53,Portugal,0.39,0.04,0.88,9,9,4,-2,1,-1
54,Republic of Serbia,,,,,,,,,
55,Romania,-1.34,-2.99,0.96,25,27,3,0,0,1
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,-0.80,-1.04,-0.45,23,23,24,-1,-1,1
60,Slovenia,-0.23,-0.28,-0.18,15,15,16,-2,-4,3
61,Spain,2.22,3.00,1.12,2,2,2,-1,0,0
62,Sweden,-0.08,0.01,-0.20,12,10,18,7,8,0
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
