id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,-0.60,-1.04,-0.02,20,21,13,4,3,-5
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,0.75,1.47,-0.20,6,3,20,-2,1,2
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,-1.20,-1.93,-0.23,25,25,21,-2,-2,-3
12,Croatia,-0.73,-1.20,-0.11,21,22,16,-7,-3,-2
13,Cyprus,-0.34,-0.47,-0.17,14,14,19,-2,4,-2
14,Czech Republic,-0.57,-0.50,-0.68,19,15,26,-1,5,-2
15,Denmark,0.78,1.16,0.27,5,6,7,6,0,-1
16,Egypt,,,,,,,,,
17,Estonia,-0.38,-0.63,-0.05,15,17,15,0,-1,-2
18,Faroe Islands,,,,,,,,,
19,Finland,1.11,1.40,0.74,3,4,2,3,-1,-1
20,France,4.47,8.39,-0.66,1,1,25,0,0,-9
21,Georgia,,,,,,,,,
22,Germany,0.37,0.76,-0.16,10,8,18,17,0,5
23,Greece,-0.39,-0.32,-0.48,16,13,24,-9,1,-3
24,Guernsey,,,,,,,,,
25,Hungary,-1.41,-2.19,-0.38,26,26,22,-5,-1,-3
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,0.79,1.16,0.31,4,5,6,1,0,-1
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,-0.46,-0.78,-0.04,17,19,14,8,8,13
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,-0.46,-0.90,0.11,18,20,10,-1,-10,2
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,-0.84,-1.48,0.01,23,24,12,-7,-3,-1
41,Luxembourg,-0.01,-0.17,0.19,11,11,8,2,4,1
42,Macedonia,,,,,,,,,
43,Malta,-0.30,-0.61,0.12,13,16,9,-5,-4,-2
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,0.49,0.37,0.64,7,9,4,12,-2,-2
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,-0.78,-0.73,-0.84,22,18,27,-19,-7,-1
53,Portugal,0.41,0.18,0.72,8,10,3,1,7,0
54,Republic of Serbia,,,,,,,,,
55,Romania,-1.94,-3.73,0.40,27,27,5,-1,-1,15
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,-1.03,-1.46,-0.46,24,23,23,-4,-1,2
60,Slovenia,-0.11,-0.20,0.02,12,12,11,-2,1,4
61,Spain,1.98,2.67,1.09,2,2,1,0,0,3
62,Sweden,0.39,0.80,-0.15,9,7,17,13,2,-7
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
