id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,-0.80,-1.22,-0.19,22,21,18,1,2,4
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,1.24,1.87,0.32,3,4,4,0,5,0
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,-1.26,-1.88,-0.35,26,25,22,-2,-5,1
12,Croatia,-0.20,-0.38,0.07,15,17,15,5,-10,0
13,Cyprus,-0.15,-0.30,0.07,12,12,14,5,3,-2
14,Czech Republic,-0.53,-0.36,-0.77,19,15,26,-1,2,-8
15,Denmark,0.11,0.05,0.20,8,9,9,1,1,2
16,Egypt,,,,,,,,,
17,Estonia,-0.18,-0.28,-0.04,14,11,16,-2,10,-3
18,Faroe Islands,,,,,,,,,
19,Finland,-0.09,-0.37,0.31,10,16,5,-6,-14,2
20,France,4.17,7.59,-0.86,1,1,27,1,25,-26
21,Georgia,,,,,,,,,
22,Germany,-1.46,-1.98,-0.71,27,26,25,-21,1,2
23,Greece,-0.14,0.07,-0.44,11,8,24,4,6,-18
24,Guernsey,,,,,,,,,
25,Hungary,-0.75,-1.10,-0.24,21,20,20,4,-14,4
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,1.23,2.00,0.09,4,3,12,1,9,-7
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,-0.26,-0.34,-0.14,16,13,17,11,12,8
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,-0.27,-0.55,0.16,17,19,10,-1,-3,6
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,-0.63,-1.23,0.25,20,22,7,1,-19,10
41,Luxembourg,0.16,0.12,0.22,7,6,8,4,2,6
42,Macedonia,,,,,,,,,
43,Malta,0.17,0.09,0.29,6,7,6,4,-2,2
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,-0.17,-0.35,0.09,13,14,13,-5,8,6
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,-0.34,-0.38,-0.27,18,18,21,-4,-17,-18
53,Portugal,0.57,0.58,0.55,5,5,3,2,-1,7
54,Republic of Serbia,,,,,,,,,
55,Romania,-1.15,-2.40,0.70,25,27,2,1,-9,24
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,-0.95,-1.31,-0.43,23,23,23,-1,1,-3
60,Slovenia,0.03,-0.03,0.13,9,10,11,4,3,-2
61,Spain,2.63,3.60,1.20,2,2,1,-1,9,1
62,Sweden,-0.98,-1.51,-0.21,24,24,19,-5,-5,2
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
