id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,-0.54,-0.82,-0.27,22,19,21,0,1,2
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,0.48,1.30,-0.28,5,6,22,2,16,-18
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,-0.40,-1.52,0.64,20,24,4,-6,-15,14
12,Croatia,-0.23,-0.56,0.07,16,17,12,3,-1,6
13,Cyprus,-0.30,-0.65,0.02,18,18,16,-2,-6,1
14,Czech Republic,0.41,1.42,-0.54,7,5,24,3,10,-17
15,Denmark,0.28,0.73,-0.15,8,9,19,3,3,-8
16,Egypt,,,,,,,,,
17,Estonia,0.17,0.15,0.19,11,13,8,1,-3,7
18,Faroe Islands,,,,,,,,,
19,Finland,0.28,0.52,0.06,9,10,14,1,-2,-4
20,France,-0.39,0.91,-1.60,19,7,27,-14,19,-25
21,Georgia,,,,,,,,,
22,Germany,1.84,2.48,1.23,2,2,1,0,1,4
23,Greece,-0.28,-0.31,-0.25,17,16,20,-14,-5,-17
24,Guernsey,,,,,,,,,
25,Hungary,-0.97,-1.53,-0.46,26,25,23,-1,-6,3
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,0.77,1.68,-0.07,4,3,17,13,17,-1
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,-2.29,-3.08,-1.55,27,27,26,0,0,-13
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,0.00,-0.27,0.25,13,15,7,2,-9,13
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,-0.66,-1.42,0.06,23,23,15,0,-7,11
41,Luxembourg,-0.07,-0.26,0.11,14,14,11,4,-2,9
42,Macedonia,,,,,,,,,
43,Malta,0.17,0.17,0.18,12,12,9,-5,-6,-3
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,0.79,1.58,0.06,3,4,13,1,0,-5
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,-0.21,-0.84,0.38,15,20,5,8,5,9
53,Portugal,0.28,0.29,0.27,10,11,6,0,-6,6
54,Republic of Serbia,,,,,,,,,
55,Romania,-0.41,-2.08,1.15,21,26,2,-1,-25,25
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,-0.69,-1.29,-0.13,24,22,18,-3,1,4
60,Slovenia,0.45,0.79,0.12,6,8,10,7,8,0
61,Spain,2.44,3.86,1.12,1,1,3,0,1,-2
62,Sweden,-0.93,-1.28,-0.60,25,21,25,1,3,0
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
