id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,-0.48,-0.78,0.01,21,20,16,10,-4,10
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,0.98,1.26,0.53,3,3,7,-8,4,-3
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,-0.85,-1.46,0.14,24,25,14,6,-8,11
12,Croatia,-0.54,-1.00,0.19,22,23,12,6,-14,8
13,Cyprus,-0.09,-0.08,-0.11,15,13,17,11,5,-7
14,Czech Republic,-0.08,0.11,-0.40,14,9,24,9,13,-10
15,Denmark,0.21,0.46,-0.19,9,7,20,-11,18,-12
16,Egypt,,,,,,,,,
17,Estonia,0.24,0.04,0.56,7,10,5,2,-4,8
18,Faroe Islands,,,,,,,,,
19,Finland,0.21,0.31,0.06,10,8,15,-10,4,-6
20,France,1.97,4.78,-2.54,2,1,27,-16,25,-26
21,Georgia,,,,,,,,,
22,Germany,0.97,1.24,0.55,4,4,6,-7,-1,18
23,Greece,-0.18,-0.01,-0.45,18,11,25,-21,9,-20
24,Guernsey,,,,,,,,,
25,Hungary,-0.91,-1.38,-0.15,25,24,19,20,-11,2
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,0.56,1.13,-0.35,5,5,22,-19,19,-16
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,-2.07,-1.81,-2.48,27,26,26,21,1,-9
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,-0.17,-0.38,0.15,17,17,13,15,-6,6
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,-0.38,-0.80,0.28,20,21,8,5,-14,14
41,Luxembourg,0.22,-0.05,0.66,8,12,4,-1,-8,11
42,Macedonia,,,,,,,,,
43,Malta,-0.19,-0.24,-0.11,19,16,18,-3,3,-6
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,0.49,1.03,-0.38,6,6,23,9,15,-11
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,0.07,-0.60,1.15,11,19,2,-8,-18,1
53,Portugal,-0.15,-0.40,0.26,16,18,9,-6,-9,7
54,Republic of Serbia,,,,,,,,,
55,Romania,-1.27,-2.66,0.97,26,27,3,2,-22,24
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,-0.59,-0.84,-0.19,23,22,21,0,1,3
60,Slovenia,-0.04,-0.19,0.20,12,14,10,-13,0,-3
61,Spain,2.11,2.52,1.46,1,2,1,-2,0,1
62,Sweden,-0.05,-0.21,0.20,13,15,11,9,0,8
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
