"name","political","social","overall","age","gender"
"MEP",94.71,96.14,95.425,48,"Male"
"MEP",92.35,97.33,94.84,58,"Male"
"MEP",88.24,97.1,92.67,35,"Male"
"MEP",87.06,97.78,92.42,44,"Male"
"MEP",90,94.15,92.075,42,"Female"
"MEP",82.35,98.52,90.435,35,"Female"
"MEP",77.65,97.22,87.435,49,"Female"
"MEP",91.18,83.07,87.125,54,"Female"
"MEP",78.24,92.44,85.34,58,"Female"
"MEP",72.35,98.07,85.21,66,"Female"
"MEP",77.06,88.98,83.02,69,"Female"
"MEP",74.71,88.52,81.615,35,"Male"
"MEP",84.71,78.18,81.445,60,"Male"
"MEP",65.88,96.36,81.12,52,"Female"
"MEP",100,60.74,80.37,61,"Female"
"MEP",60.59,98.64,79.615,41,"Female"
"MEP",69.41,89.49,79.45,65,"Male"
"MEP",72.94,83.81,78.375,58,"Female"
"MEP",60,92.1,76.05,38,"Female"
"MEP",61.18,89.32,75.25,62,"Male"
"MEP",92.94,56.36,74.65,56,"Female"
"MEP",59.41,87.16,73.285,62,"Female"
"MEP",63.53,83.01,73.27,36,"Male"
"MEP",52.94,92.39,72.665,32,"Female"
"MEP",50.59,94.49,72.54,31,"Female"
"MEP",52.94,90.68,71.81,54,"Female"
"MEP",70.59,72.9,71.745,39,"Male"
"MEP",68.82,73.69,71.255,46,"Male"
"MEP",51.18,91.02,71.1,67,"Female"
"MEP",51.76,89.77,70.765,49,"Male"
"MEP",48.24,93.07,70.655,49,"Female"
"MEP",42.35,98.92,70.635,53,"Female"
"MEP",52.35,87.73,70.04,69,"Male"
"MEP",57.06,82.1,69.58,59,"Female"
"MEP",42.65,96.36,69.505,41,"Male"
"MEP",57.65,80.4,69.025,46,"Female"
"MEP",40.59,97.39,68.99,54,"Male"
"MEP",59.41,78.3,68.855,68,"Male"
"MEP",37.65,100,68.825,44,"Male"
"MEP",54.71,82.61,68.66,40,"Male"
"MEP",47.65,89.32,68.485,68,"Male"
"MEP",60,75.8,67.9,45,"Male"
"MEP",60,75.4,67.7,47,"Male"
"MEP",41.76,93.24,67.5,32,"Female"
"MEP",50.59,83.98,67.285,65,"Male"
"MEP",53.53,80.74,67.135,53,"Male"
"MEP",39.41,94.72,67.065,41,"Male"
"MEP",74.12,60,67.06,37,"Male"
"MEP",45.88,87.84,66.86,47,"Female"
"MEP",58.82,74.49,66.655,47,"Female"
"MEP",45.88,87.33,66.605,49,"Female"
"MEP",42.35,90.45,66.4,48,"Male"
"MEP",47.06,83.81,65.435,40,"Male"
"MEP",56.47,73.69,65.08,68,"Female"
"MEP",47.06,82.33,64.695,63,"Female"
"MEP",31.76,97.33,64.545,51,"Male"
"MEP",52.35,76.65,64.5,38,"Male"
"MEP",41.76,86.7,64.23,36,"Female"
"MEP",52.35,75.85,64.1,49,"Male"
"MEP",35.29,92.27,63.78,54,"Male"
"MEP",36.47,91.02,63.745,35,"Male"
"MEP",70.59,56.76,63.675,71,"Female"
"MEP",40.59,86.36,63.475,46,"Male"
"MEP",52.94,73.3,63.12,39,"Male"
"MEP",58.82,67.33,63.075,31,"Male"
"MEP",84.12,41.99,63.055,58,"Male"
"MEP",38.82,87.1,62.96,71,"Female"
"MEP",51.76,73.64,62.7,51,"Female"
"MEP",58.24,66.7,62.47,62,"Female"
"MEP",41.18,83.24,62.21,58,"Male"
"MEP",45.88,78.24,62.06,45,"Male"
"MEP",45.29,78.75,62.02,49,"Female"
"MEP",55.88,68.13,62.005,37,"Male"
"MEP",35.29,88.69,61.99,31,"Male"
"MEP",53.82,68.81,61.315,45,"Male"
"MEP",58.24,64.38,61.31,59,"Male"
"MEP",50.59,71.99,61.29,73,"Female"
"MEP",42.35,79.83,61.09,47,"Female"
"MEP",71.18,50.34,60.76,55,"Female"
"MEP",51.18,70.17,60.675,32,"Male"
"MEP",44.85,76.19,60.52,34,"Female"
"MEP",42.35,78.01,60.18,40,"Male"
"MEP",44.71,75.4,60.055,35,"Female"
"MEP",57.06,62.84,59.95,42,"Female"
"MEP",42.35,76.76,59.555,67,"Female"
"MEP",40.59,77.9,59.245,58,"Male"
"MEP",43.53,74.94,59.235,52,"Male"
"MEP",44.12,74.09,59.105,75,"Male"
"MEP",58.82,59.38,59.1,56,"Male"
"MEP",38.82,79.26,59.04,53,"Male"
"MEP",49.41,68.3,58.855,52,"Male"
"MEP",47.06,70.57,58.815,81,"Male"
"MEP",51.18,66.31,58.745,49,"Female"
"MEP",47.06,70.4,58.73,35,"Male"
"MEP",24.12,93.13,58.625,68,"Male"
"MEP",58.82,58.24,58.53,56,"Male"
"MEP",45.88,71.14,58.51,63,"Male"
"MEP",54.12,62.84,58.48,69,"Female"
"MEP",54.12,62.78,58.45,48,"Male"
"MEP",32.94,83.69,58.315,68,"Female"
"MEP",28.82,87.61,58.215,57,"Male"
"MEP",40,76.31,58.155,57,"Female"
"MEP",50,66.31,58.155,57,"Male"
"MEP",51.18,64.77,57.975,45,"Female"
"MEP",47.06,68.47,57.765,69,"Male"
"MEP",43.53,71.88,57.705,65,"Female"
"MEP",39.41,75.85,57.63,34,"Female"
"MEP",40.59,74.66,57.625,50,"Female"
"MEP",25.29,89.77,57.53,46,"Male"
"MEP",35.29,79.32,57.305,69,"Male"
"MEP",56.47,58.13,57.3,61,"Male"
"MEP",37.65,76.36,57.005,73,"Male"
"MEP",44.12,69.83,56.975,36,"Male"
"MEP",38.82,74.77,56.795,54,"Male"
"MEP",20.59,92.61,56.6,58,"Male"
"MEP",61.62,51.53,56.575,68,"Male"
"MEP",42.35,70.34,56.345,57,"Female"
"MEP",38.82,73.75,56.285,45,"Female"
"MEP",40.15,72.39,56.27,60,"Female"
"MEP",47.06,64.43,55.745,47,"Male"
"MEP",53.53,57.95,55.74,55,"Male"
"MEP",35.29,76.08,55.685,31,"Female"
"MEP",34.71,76.65,55.68,39,"Male"
"MEP",62.94,47.95,55.445,57,"Female"
"MEP",33.53,77.22,55.375,45,"Male"
"MEP",35.88,74.66,55.27,32,"Female"
