"name","political","social","overall","age","gender"
"MEP",100,98.98,99.49,47,"Male"
"MEP",87.91,93.14,90.52,45,"Male"
"MEP",71.16,93.95,82.55,40,"Male"
"MEP",87.44,72.8,80.12,42,"Female"
"MEP",66.74,92.12,79.43,59,"Female"
"MEP",59.53,98.42,78.98,42,"Female"
"MEP",61.63,96.29,78.96,45,"Male"
"MEP",74.42,79.51,76.96,56,"Male"
"MEP",63.26,89.27,76.27,42,"Male"
"MEP",54.42,95.42,74.92,37,"Female"
"MEP",54.19,95.07,74.63,58,"Male"
"MEP",67.91,79.92,73.91,57,"Female"
"MEP",45.81,97.66,71.74,60,"Male"
"MEP",53.02,90.39,71.7,61,"Male"
"MEP",61.86,81.19,71.52,54,"Female"
"MEP",55.35,85.86,70.61,35,"Male"
"MEP",43.26,95.88,69.57,54,"Female"
"MEP",53.95,84.14,69.04,28,"Female"
"MEP",44.65,92.07,68.36,54,"Male"
"MEP",83.72,51.64,67.68,53,"Female"
"MEP",41.86,92.32,67.09,56,"Male"
"MEP",54.88,78.44,66.66,35,"Male"
"MEP",52.09,80.02,66.05,57,"Female"
"MEP",31.16,98.98,65.07,34,"Female"
"MEP",41.86,87.44,64.65,51,"Female"
"MEP",31.63,96.29,63.96,48,"Male"
"MEP",54.88,73,63.94,63,"Male"
"MEP",27.44,100,63.72,34,"Male"
"MEP",69.3,58.1,63.7,43,"Male"
"MEP",43.26,83.78,63.52,49,"Male"
"MEP",37.21,89.27,63.24,54,"Female"
"MEP",43.26,83.17,63.21,66,"Female"
"MEP",41.86,84.39,63.12,53,"Female"
"MEP",80.93,44.88,62.91,76,"Male"
"MEP",42.33,82.97,62.65,62,"Female"
"MEP",44.19,81.08,62.64,37,"Male"
"MEP",48.37,76.76,62.57,52,"Female"
"MEP",36.74,88.36,62.55,65,"Male"
"MEP",36.74,88.25,62.5,62,"Female"
"MEP",28.37,96.59,62.48,51,"Male"
"MEP",26.05,98.83,62.44,35,"Male"
"MEP",27.44,97.25,62.35,57,"Male"
"MEP",31.16,93.54,62.35,54,"Male"
"MEP",28.84,95.32,62.08,68,"Female"
"MEP",37.67,86.22,61.95,49,"Male"
"MEP",38.6,85.1,61.85,37,"Male"
"MEP",40.47,83.17,61.82,35,"Male"
"MEP",53.95,69.24,61.59,45,"Female"
"MEP",33.95,88.2,61.08,52,"Female"
"MEP",38.6,83.53,61.06,49,"Female"
"MEP",40.47,81.08,60.78,76,"Female"
"MEP",36.28,85.2,60.74,63,"Female"
"MEP",56.74,64.71,60.73,54,"Female"
"MEP",27.44,93.14,60.29,54,"Male"
"MEP",40,80.02,60.01,61,"Male"
"MEP",35.35,84.59,59.97,51,"Male"
"MEP",33.49,85.71,59.6,48,"Male"
"MEP",25.12,93.8,59.46,46,"Male"
"MEP",33.02,85.86,59.44,48,"Male"
"MEP",48.84,70,59.42,37,"Male"
"MEP",26.98,91.56,59.27,36,"Female"
"MEP",27.91,90.08,59,73,"Male"
"MEP",34.88,82.97,58.92,45,"Female"
"MEP",29.3,88,58.65,39,"Male"
"MEP",41.4,75.9,58.65,54,"Female"
"MEP",57.21,59.53,58.37,48,"Female"
"MEP",40.93,75.8,58.36,58,"Female"
"MEP",17.21,98.68,57.94,31,"Female"
