"name","political","social","overall","age","gender"
"MEP",100,87.77,93.885,32,"Female"
"MEP",95.48,96.24,95.86,56,"Male"
"MEP",93.21,84.35,88.78,48,"Female"
"MEP",92.31,94.11,93.21,49,"Male"
"MEP",91.4,0,45.7,54,"Female"
"MEP",89.14,92.93,91.035,47,"Male"
"MEP",86.43,76.55,81.49,39,"Male"
"MEP",83.71,100,91.855,64,"Female"
"MEP",72.85,67.46,70.155,45,"Male"
"MEP",72.4,45.97,59.185,42,"Female"
"MEP",69.68,17.48,43.58,76,"Male"
"MEP",64.25,0,32.125,52,"Male"
"MEP",63.8,68.98,66.39,71,"Female"
"MEP",62.44,87.66,75.05,40,"Male"
"MEP",59.73,81.21,70.47,62,"Female"
"MEP",58.37,83.06,70.715,45,"Female"
"MEP",58.37,19.05,38.71,48,"Male"
"MEP",57.92,89.57,73.745,56,"Female"
"MEP",57.47,38.79,48.13,40,"Male"
"MEP",55.2,82.33,68.765,49,"Male"
"MEP",54.3,96.8,75.55,48,"Female"
"MEP",53.39,28.92,41.155,43,"Male"
"MEP",51.58,88.72,70.15,35,"Male"
"MEP",51.58,29.42,40.5,49,"Female"
"MEP",51.13,75.09,63.11,54,"Female"
"MEP",50.68,51.3,50.99,64,"Female"
"MEP",50.68,0,25.34,48,"Female"
"MEP",49.32,92.37,70.845,35,"Male"
"MEP",48.87,30.83,39.85,45,"Female"
"MEP",48.42,85.36,66.89,35,"Male"
"MEP",48.42,38.46,43.44,53,"Female"
"MEP",47.96,29.93,38.945,57,"Male"
"MEP",47.96,0,23.98,67,"Male"
"MEP",47.51,87.71,67.61,54,"Female"
"MEP",46.15,63.37,54.76,46,"Female"
"MEP",46.15,32.29,39.22,28,"Female"
"MEP",46.15,31.78,38.965,58,"Female"
"MEP",46.15,0,23.075,75,"Male"
"MEP",45.7,0,22.85,53,"Female"
"MEP",45.25,93.72,69.485,45,"Female"
"MEP",45.25,22.52,33.885,65,"Male"
"MEP",44.8,95.96,70.38,57,"Female"
"MEP",44.34,72.85,58.595,53,"Female"
"MEP",43.44,80.53,61.985,54,"Female"
"MEP",43.44,79.69,61.565,49,"Female"
"MEP",43.44,73.13,58.285,62,"Female"
"MEP",43.44,31.44,37.44,54,"Female"
"MEP",43.44,0,21.72,51,"Male"
