"name","political","social","overall","age","gender"
"MEP",43.52,100,71.76,68,"Male"
"MEP",14.79,98.63,56.71,34,"Male"
"MEP",31.9,97.64,64.77,31,"Female"
"MEP",12.61,96.61,54.61,35,"Male"
"MEP",55.1,95.73,75.415,47,"Male"
"MEP",22.25,95.43,58.84,42,"Male"
"MEP",21.13,95.34,58.235,34,"Female"
"MEP",33.1,95.09,64.095,68,"Female"
"MEP",43.66,94.8,69.23,41,"Female"
"MEP",36,94.45,65.225,38,"Female"
"MEP",65.7,94.21,79.955,51,"Male"
"MEP",56.62,93.72,75.17,54,"Male"
"MEP",78.03,93.57,85.8,49,"Male"
"MEP",41.27,93.57,67.42,42,"Female"
"MEP",34.93,93.52,64.225,57,"Female"
"MEP",14.48,93.22,53.85,65,"Male"
"MEP",24.99,92.83,58.91,60,"Male"
"MEP",16.06,92.78,54.42,44,"Male"
"MEP",44.17,92.14,68.155,45,"Male"
"MEP",41.41,92.09,66.75,63,"Female"
"MEP",58.2,91.9,75.05,65,"Male"
"MEP",19.44,91.55,55.495,48,"Male"
"MEP",28.73,91.46,60.095,36,"Female"
"MEP",17.21,91.46,54.335,57,"Male"
"MEP",48.73,90.08,69.405,51,"Female"
"MEP",22.75,88.56,55.655,63,"Male"
"MEP",19.1,88.41,53.755,54,"Female"
"MEP",20.87,88.27,54.57,37,"Female"
"MEP",30.42,88.22,59.32,64,"Female"
"MEP",35.63,88.12,61.875,58,"Male"
"MEP",48.31,87.87,68.09,68,"Male"
"MEP",42.76,87.77,65.265,57,"Female"
"MEP",19.15,87.53,53.34,54,"Male"
"MEP",39.01,87.18,63.095,66,"Female"
"MEP",20,86.99,53.495,39,"Male"
"MEP",34.93,86.84,60.885,44,"Male"
"MEP",48.03,86.79,67.41,49,"Female"
"MEP",38.96,86.45,62.705,40,"Male"
"MEP",27.61,86.25,56.93,62,"Female"
"MEP",28.59,86.01,57.3,46,"Male"
"MEP",33.07,85.86,59.465,41,"Male"
"MEP",47.04,85.52,66.28,35,"Male"
"MEP",50.87,85.47,68.17,35,"Male"
"MEP",34.17,85.42,59.795,54,"Female"
"MEP",33.46,85.32,59.39,59,"Female"
"MEP",18.03,85.22,51.625,51,"Female"
"MEP",20,84.93,52.465,41,"Male"
"MEP",13.94,84.78,49.36,46,"Male"
"MEP",29.86,84.63,57.245,73,"Male"
"MEP",24.93,84.19,54.56,49,"Female"
"MEP",34.08,83.94,59.01,39,"Male"
"MEP",19.72,83.75,51.735,41,"Female"
"MEP",22.39,83.65,53.02,53,"Female"
"MEP",12.48,83.45,47.965,39,"Female"
"MEP",54.34,83.31,68.825,45,"Male"
"MEP",24.51,83.26,53.885,69,"Male"
"MEP",19.3,82.42,50.86,54,"Male"
"MEP",17.18,82.27,49.725,63,"Male"
"MEP",28.39,82.08,55.235,51,"Male"
"MEP",26.9,81.59,54.245,54,"Female"
"MEP",22.96,81.19,52.075,49,"Male"
"MEP",22.89,80.75,51.82,38,"Male"
"MEP",35.49,80.7,58.095,34,"Female"
"MEP",39.15,80.65,59.9,35,"Male"
"MEP",16.34,80.65,48.495,32,"Female"
"MEP",45.07,80.46,62.765,71,"Female"
"MEP",40.65,80.46,60.555,56,"Male"
"MEP",29.3,80.46,54.88,53,"Male"
"MEP",31.69,80.21,55.95,45,"Male"
"MEP",50.99,80.16,65.575,58,"Female"
"MEP",32.78,79.97,56.375,70,"Male"
"MEP",21.13,79.77,50.45,69,"Male"
"MEP",34.86,79.67,57.265,45,"Female"
"MEP",24.93,79.62,52.275,35,"Female"
"MEP",21.34,79.57,50.455,53,"Female"
"MEP",26.28,79.43,52.855,76,"Female"
"MEP",22.68,79.18,50.93,36,"Male"
"MEP",70.14,79.13,74.635,68,"Male"
"MEP",41.77,79.08,60.425,52,"Female"
"MEP",44.23,78.94,61.585,38,"Female"
"MEP",39.3,78.79,59.045,42,"Male"
"MEP",37.61,78.64,58.125,35,"Male"
"MEP",20.45,78.1,49.275,56,"Male"
"MEP",29.86,78,53.93,54,"Female"
"MEP",34.82,77.91,56.365,45,"Male"
"MEP",33.83,77.86,55.845,61,"Male"
"MEP",4.51,77.17,40.84,73,"Male"
"MEP",87.61,77.07,82.34,47,"Female"
"MEP",47.61,76.92,62.265,68,"Male"
"MEP",45.3,76.73,61.015,48,"Female"
"MEP",37.18,76.63,56.905,45,"Male"
"MEP",73.1,76.14,74.62,65,"Female"
"MEP",48.45,76.09,62.27,48,"Male"
"MEP",25.3,76.09,50.695,48,"Male"
"MEP",21.63,75.99,48.81,54,"Male"
"MEP",14.08,75.94,45.01,48,"Female"
"MEP",8.77,75.79,42.28,38,"Male"
"MEP",27.04,75.55,51.295,49,"Male"
"MEP",32.11,75.45,53.78,64,"Female"
"MEP",21.21,75.35,48.28,45,"Female"
"MEP",82.82,75.16,78.99,52,"Male"
"MEP",20.14,74.96,47.55,58,"Male"
"MEP",37.15,74.91,56.03,54,"Female"
"MEP",15.95,74.81,45.38,55,"Male"
"MEP",9.3,74.71,42.005,58,"Male"
"MEP",18.59,74.66,46.625,42,"Female"
"MEP",20.85,74.62,47.735,52,"Female"
"MEP",51.92,74.42,63.17,50,"Male"
"MEP",34.93,74.22,54.575,50,"Male"
"MEP",31.83,74.17,53,37,"Female"
"MEP",41.55,74.03,57.79,58,"Male"
"MEP",23.1,74.03,48.565,52,"Female"
"MEP",22.25,73.83,48.04,48,"Male"
"MEP",25.85,73.73,49.79,47,"Female"
"MEP",50.21,73.58,61.895,52,"Male"
"MEP",17.83,73.04,45.435,53,"Female"
"MEP",40.28,72.5,56.39,45,"Female"
"MEP",10.14,72.5,41.32,56,"Male"
"MEP",20.08,72.41,46.245,42,"Female"
"MEP",12.25,72.11,42.18,45,"Female"
"MEP",50.42,71.42,60.92,41,"Male"
"MEP",16.06,71.33,43.695,67,"Female"
"MEP",30.85,71.23,51.04,37,"Male"
"MEP",24.79,71.23,48.01,49,"Female"
"MEP",64.08,71.03,67.555,66,"Male"
"MEP",19.24,70.69,44.965,46,"Male"
"MEP",34.65,70.59,52.62,51,"Male"
"MEP",35.21,70.39,52.8,57,"Male"
"MEP",19.01,70.34,44.675,40,"Female"
"MEP",22.39,70.2,46.295,64,"Male"
"MEP",25.21,70.1,47.655,35,"Male"
"MEP",6.2,69.31,37.755,26,"Male"
"MEP",23.66,69.07,46.365,54,"Male"
"MEP",49.3,68.87,59.085,73,"Female"
"MEP",24.79,68.67,46.73,31,"Female"
"MEP",62.68,68.48,65.58,46,"Female"
"MEP",29.97,68.18,49.075,42,"Female"
"MEP",28.73,67.84,48.285,28,"Female"
"MEP",18.17,67.79,42.98,42,"Female"
"MEP",25.24,67.74,46.49,62,"Female"
"MEP",43.94,67.35,55.645,58,"Male"
"MEP",39.13,67.1,53.115,39,"Male"
"MEP",25.35,67,46.175,39,"Male"
"MEP",47.41,66.96,57.185,35,"Female"
"MEP",43.1,66.91,55.005,51,"Female"
"MEP",42.25,66.91,54.58,67,"Female"
"MEP",18.45,66.91,42.68,77,"Male"
"MEP",5.35,66.81,36.08,54,"Male"
"MEP",18.17,66.66,42.415,64,"Male"
"MEP",38.54,66.51,52.525,61,"Male"
"MEP",23.8,66.42,45.11,37,"Male"
"MEP",12.25,66.42,39.335,57,"Male"
"MEP",21.97,66.17,44.07,31,"Male"
"MEP",20.85,66.12,43.485,36,"Male"
"MEP",15.42,65.58,40.5,44,"Male"
"MEP",25.35,65.43,45.39,53,"Male"
"MEP",46.76,65.29,56.025,59,"Male"
"MEP",38.68,65.04,51.86,23,"Female"
"MEP",34.65,64.99,49.82,47,"Male"
"MEP",28.17,64.6,46.385,40,"Female"
"MEP",34.51,64.45,49.48,60,"Female"
"MEP",18.03,64.11,41.07,37,"Male"
"MEP",22.63,64.01,43.32,41,"Female"
"MEP",15.21,63.91,39.56,60,"Male"
"MEP",27.89,63.72,45.805,56,"Male"
"MEP",27.32,63.52,45.42,45,"Female"
"MEP",26.83,63.32,45.075,46,"Male"
"MEP",9.23,63.32,36.275,68,"Female"
"MEP",48.17,63.27,55.72,52,"Female"
"MEP",53.04,63.08,58.06,40,"Male"
"MEP",44.73,63.08,53.905,42,"Male"
"MEP",18.59,62.54,40.565,34,"Female"
"MEP",25.63,62.44,44.035,48,"Female"
"MEP",47.13,62.09,54.61,63,"Male"
"MEP",35.49,61.95,48.72,33,"Female"
"MEP",43.52,61.9,52.71,57,"Female"
"MEP",52.11,61.75,56.93,65,"Male"
"MEP",43.1,61.41,52.255,62,"Male"
"MEP",27.89,61.16,44.525,75,"Male"
"MEP",47.04,60.97,54.005,60,"Female"
"MEP",24.93,60.92,42.925,34,"Male"
"MEP",41.97,60.67,51.32,42,"Male"
"MEP",13.52,60.62,37.07,37,"Male"
"MEP",46.48,60.52,53.5,47,"Female"
"MEP",32.11,60.47,46.29,51,"Male"
"MEP",16.08,60.47,38.275,32,"Female"
"MEP",8.91,60.43,34.67,43,"Male"
"MEP",11.2,60.33,35.765,40,"Male"
"MEP",13.38,60.23,36.805,47,"Female"
"MEP",11.83,59.93,35.88,57,"Female"
"MEP",29.86,59.74,44.8,57,"Male"
"MEP",16.55,59.64,38.095,66,"Male"
"MEP",21.13,59.59,40.36,28,"Female"
"MEP",33.8,59.44,46.62,50,"Female"
"MEP",20.56,59.39,39.975,28,"Female"
"MEP",28.62,59.35,43.985,32,"Female"
"MEP",16.27,59.05,37.66,48,"Male"
"MEP",17.83,59,38.415,49,"Male"
"MEP",8.94,58.61,33.775,65,"Male"
"MEP",37.44,58.56,48,43,"Male"
"MEP",33.24,58.51,45.875,65,"Female"
"MEP",42.25,58.41,50.33,69,"Male"
"MEP",9.58,58.22,33.9,51,"Female"
"MEP",17.61,58.17,37.89,45,"Female"
"MEP",23.94,57.77,40.855,85,"Male"
"MEP",33.8,57.63,45.715,64,"Male"
"MEP",26.48,57.33,41.905,49,"Female"
"MEP",33.52,57.23,45.375,55,"Male"
"MEP",18.74,56.89,37.815,56,"Female"
"MEP",17.18,56.84,37.01,45,"Male"
"MEP",28.87,56.64,42.755,55,"Male"
"MEP",33.38,56.5,44.94,52,"Male"
"MEP",100,56.1,78.05,65,"Male"
"MEP",15.77,56.1,35.935,56,"Female"
"MEP",26.2,55.96,41.08,81,"Male"
"MEP",26.2,55.52,40.86,56,"Male"
"MEP",23.18,55.37,39.275,51,"Female"
"MEP",20.51,55.02,37.765,63,"Male"
"MEP",7.04,54.48,30.76,42,"Female"
"MEP",25.92,54.44,40.18,48,"Female"
"MEP",23.66,54.14,38.9,59,"Female"
"MEP",46.2,54.09,50.145,42,"Female"
"MEP",9.58,53.99,31.785,46,"Male"
"MEP",22.39,53.94,38.165,58,"Male"
"MEP",16.42,53.94,35.18,50,"Female"
"MEP",21.41,53.9,37.655,62,"Female"
"MEP",13.59,53.8,33.695,28,"Male"
"MEP",19.72,53.45,36.585,47,"Male"
"MEP",39.69,53.36,46.525,62,"Female"
"MEP",23.1,53.21,38.155,58,"Male"
"MEP",44.11,53.11,48.61,54,"Female"
"MEP",23.56,53.11,38.335,36,"Male"
"MEP",26.06,52.77,39.415,55,"Male"
"MEP",26.2,52.57,39.385,58,"Female"
"MEP",14.94,52.52,33.73,49,"Female"
"MEP",37.75,52.37,45.06,46,"Female"
"MEP",27.18,52.27,39.725,29,"Male"
"MEP",19.75,52.23,35.99,44,"Male"
"MEP",29.8,51.93,40.865,45,"Female"
"MEP",35.21,51.69,43.45,58,"Male"
"MEP",2.82,51.59,27.205,59,"Male"
"MEP",36.76,51.44,44.1,32,"Female"
"MEP",29.58,51.44,40.51,56,"Male"
"MEP",17.75,51.39,34.57,52,"Female"
"MEP",72.18,51.24,61.71,66,"Male"
"MEP",5.35,51.1,28.225,43,"Female"
"MEP",16.99,50.85,33.92,30,"Female"
"MEP",7.39,50.75,29.07,55,"Male"
"MEP",31.92,50.51,41.215,36,"Male"
"MEP",18.31,50.26,34.285,34,"Female"
"MEP",10.14,50.26,30.2,64,"Female"
"MEP",31.83,50.11,40.97,61,"Male"
"MEP",48.94,49.92,49.43,42,"Female"
"MEP",14.08,49.87,31.975,66,"Female"
"MEP",23.66,49.77,36.715,29,"Female"
"MEP",12.99,49.72,31.355,72,"Female"
"MEP",46,49.38,47.69,51,"Female"
"MEP",21.62,49.33,35.475,37,"Female"
"MEP",37.99,49.28,43.635,52,"Male"
"MEP",13.31,49.28,31.295,55,"Male"
"MEP",14.59,49.08,31.835,52,"Male"
"MEP",16.7,48.94,32.82,45,"Female"
"MEP",39.15,48.79,43.97,36,"Male"
"MEP",36.34,48.74,42.54,39,"Male"
"MEP",15.63,48.59,32.11,60,"Male"
"MEP",49.58,48.54,49.06,36,"Male"
"MEP",27.61,48.49,38.05,47,"Male"
"MEP",18.66,48.49,33.575,49,"Male"
"MEP",27.76,47.95,37.855,45,"Female"
"MEP",32.96,47.91,40.435,50,"Male"
"MEP",70.85,47.86,59.355,60,"Male"
"MEP",39.72,47.81,43.765,45,"Male"
"MEP",40.85,47.51,44.18,65,"Male"
"MEP",32.11,47.51,39.81,59,"Female"
"MEP",24.51,47.22,35.865,32,"Female"
"MEP",19.94,47.22,33.58,33,"Male"
"MEP",7.18,46.68,26.93,41,"Female"
"MEP",11.27,46.63,28.95,34,"Female"
"MEP",12.97,46.43,29.7,56,"Male"
"MEP",27.04,46.28,36.66,37,"Male"
"MEP",48.17,46.14,47.155,68,"Female"
"MEP",21.97,46.14,34.055,38,"Female"
"MEP",26.2,45.99,36.095,40,"Male"
"MEP",19.72,45.94,32.83,52,"Male"
"MEP",27.32,45.84,36.58,45,"Female"
"MEP",46.13,45.74,45.935,58,"Male"
"MEP",36.34,45.7,41.02,55,"Female"
"MEP",57.46,45.5,51.48,63,"Male"
"MEP",22.34,45.45,33.895,49,"Female"
"MEP",35.21,45.3,40.255,58,"Female"
"MEP",13.8,45.25,29.525,62,"Male"
"MEP",25.49,44.62,35.055,38,"Female"
"MEP",38.66,44.57,41.615,35,"Male"
"MEP",9.58,44.42,27,68,"Male"
"MEP",35.35,44.37,39.86,60,"Female"
"MEP",63.46,44.27,53.865,47,"Female"
"MEP",26.34,44.27,35.305,63,"Male"
"MEP",10.21,44.12,27.165,48,"Male"
"MEP",22.25,44.03,33.14,38,"Male"
"MEP",24.17,43.49,33.83,69,"Female"
"MEP",48.62,43.14,45.88,56,"Male"
"MEP",20.42,43.14,31.78,68,"Female"
"MEP",38.59,42.95,40.77,65,"Male"
"MEP",26.62,42.26,34.44,37,"Female"
"MEP",34.08,41.96,38.02,43,"Male"
"MEP",30.89,41.91,36.4,58,"Female"
"MEP",23.18,41.82,32.5,34,"Female"
"MEP",34.31,41.77,38.04,56,"Female"
"MEP",4.51,41.33,22.92,57,"Female"
"MEP",30.39,41.18,35.785,61,"Male"
"MEP",14.51,41.03,27.77,48,"Male"
"MEP",25.63,40.74,33.185,55,"Male"
"MEP",23.04,40.69,31.865,51,"Male"
"MEP",32.82,40.1,36.46,58,"Female"
"MEP",32.68,40.05,36.365,57,"Male"
"MEP",15.63,39.56,27.595,65,"Male"
"MEP",38.59,39.41,39,61,"Male"
"MEP",30.14,38.72,34.43,37,"Male"
"MEP",21,38.67,29.835,53,"Male"
"MEP",28.82,38.63,33.725,66,"Male"
"MEP",20.37,38.23,29.3,50,"Female"
"MEP",34.17,38.09,36.13,62,"Female"
"MEP",14.65,37.99,26.32,45,"Male"
"MEP",27.46,37.94,32.7,41,"Male"
"MEP",29.77,37.5,33.635,53,"Female"
"MEP",14.37,37.45,25.91,34,"Female"
"MEP",12.11,37.45,24.78,47,"Male"
"MEP",39.15,37.2,38.175,48,"Female"
"MEP",21.21,37.05,29.13,37,"Male"
"MEP",16.9,37,26.95,50,"Female"
"MEP",10.49,36.91,23.7,68,"Male"
"MEP",58.3,36.66,47.48,58,"Male"
"MEP",32.39,36.46,34.425,54,"Female"
"MEP",20.7,36.02,28.36,51,"Female"
"MEP",31.55,35.83,33.69,48,"Male"
"MEP",25.21,35.78,30.495,44,"Female"
"MEP",15.14,35.78,25.46,53,"Female"
"MEP",57.61,35.58,46.595,56,"Male"
"MEP",29.41,35.58,32.495,58,"Female"
"MEP",34.3,35.43,34.865,39,"Female"
"MEP",26.9,35.29,31.095,56,"Male"
